
By speaker
t: -1.918, p:  0.070, dt: 27/11/2010-11:40:28, F1: mohammed - hy - ii plain, N1 = 10, N2 = 12
t: -2.852, p:  0.012, dt: 27/11/2010-11:40:28, F1: mohammed - jzyrh - ii plain, N1 = 10, N2 = 8
t:  2.619, p:  0.016, dt: 27/11/2010-11:40:28, F1: mohammed - sdyd - ii plain, N1 = 10, N2 = 12
t:  2.287, p:  0.036, dt: 27/11/2010-11:40:28, F1: mohammed - tlyfwn - ii plain, N1 = 10, N2 = 8
t:  1.132, p:  0.271, dt: 27/11/2010-11:40:28, F2: mohammed - hy - ii plain, N1 = 10, N2 = 12
t:  0.089, p:  0.930, dt: 27/11/2010-11:40:28, F2: mohammed - jzyrh - ii plain, N1 = 10, N2 = 8
t: -3.551, p:  0.002, dt: 27/11/2010-11:40:28, F2: mohammed - sdyd - ii plain, N1 = 10, N2 = 12
t:  3.076, p:  0.007, dt: 27/11/2010-11:40:28, F2: mohammed - tlyfwn - ii plain, N1 = 10, N2 = 8
t: -0.527, p:  0.604, dt: 27/11/2010-11:40:28, F3: mohammed - hy - ii plain, N1 = 10, N2 = 12
t: -0.285, p:  0.779, dt: 27/11/2010-11:40:28, F3: mohammed - jzyrh - ii plain, N1 = 10, N2 = 8
t: -1.799, p:  0.087, dt: 27/11/2010-11:40:28, F3: mohammed - sdyd - ii plain, N1 = 10, N2 = 12
t:  3.405, p:  0.004, dt: 27/11/2010-11:40:28, F3: mohammed - tlyfwn - ii plain, N1 = 10, N2 = 8
t:  0.680, p:  0.506, dt: 27/11/2010-11:40:28, F1: mohammed - ftwr - uu plain, N1 = 11, N2 = 8
t:  1.934, p:  0.063, dt: 27/11/2010-11:40:28, F1: mohammed - hw - uu plain, N1 = 11, N2 = 20
t:  1.844, p:  0.083, dt: 27/11/2010-11:40:28, F1: mohammed - skwt - uu plain, N1 = 11, N2 = 8
t: -4.587, p:  0.000, dt: 27/11/2010-11:40:28, F1: mohammed - tlyfwn - uu plain, N1 = 11, N2 = 8
t:  1.245, p:  0.227, dt: 27/11/2010-11:40:28, F1: mohammed - zhwr - uu plain, N1 = 11, N2 = 12
t:  0.289, p:  0.776, dt: 27/11/2010-11:40:28, F2: mohammed - ftwr - uu plain, N1 = 11, N2 = 8
t:  3.274, p:  0.003, dt: 27/11/2010-11:40:28, F2: mohammed - hw - uu plain, N1 = 11, N2 = 20
t: -1.008, p:  0.328, dt: 27/11/2010-11:40:28, F2: mohammed - skwt - uu plain, N1 = 11, N2 = 8
t: -4.096, p:  0.001, dt: 27/11/2010-11:40:28, F2: mohammed - tlyfwn - uu plain, N1 = 11, N2 = 8
t:  1.985, p:  0.060, dt: 27/11/2010-11:40:28, F2: mohammed - zhwr - uu plain, N1 = 11, N2 = 12
t: -0.966, p:  0.348, dt: 27/11/2010-11:40:28, F3: mohammed - ftwr - uu plain, N1 = 11, N2 = 8
t: -1.102, p:  0.280, dt: 27/11/2010-11:40:28, F3: mohammed - hw - uu plain, N1 = 11, N2 = 20
t:  4.554, p:  0.000, dt: 27/11/2010-11:40:28, F3: mohammed - skwt - uu plain, N1 = 11, N2 = 8
t: -0.949, p:  0.356, dt: 27/11/2010-11:40:28, F3: mohammed - tlyfwn - uu plain, N1 = 11, N2 = 8
t: -1.810, p:  0.085, dt: 27/11/2010-11:40:28, F3: mohammed - zhwr - uu plain, N1 = 11, N2 = 12
t:  1.512, p:  0.145, dt: 27/11/2010-11:40:28, F1: naif1 - alan - aa plain, N1 = 12, N2 = 12
t: -1.582, p:  0.128, dt: 27/11/2010-11:40:28, F1: naif1 - ktab - aa plain, N1 = 12, N2 = 12
t:  1.220, p:  0.235, dt: 27/11/2010-11:40:28, F1: naif1 - mlabs - aa plain, N1 = 12, N2 = 12
